Title,Company,Location,Salary,Description,Job URL,Date,State
"Data Scientist for Intelligence and Machine Learning - Huntsville, AL","Davidson Technologies, Inc.","Huntsville, AL 35808",Full-time,"The role involves applying advanced scientific techniques, including AI, machine learning, and data mining, to analyze intelligence data and create…",https://www.indeed.com/rc/clk?jk=cfcc12f75cf6b68b&bb=iyky3AQomuxeNprvj0oz9Me9KK8v9kujipP5kSEBLrCo-E2b4aFpreSwlys76bzcJrVMqNjvfYamTimbq4V1ZcR0HH12tWGanpePcHik2CZCby844Pny7U1OoFWa99cn&xkcb=SoDQ67M3_jNDenxlnp0BbzkdCdPP&fccid=e9cc945e5662afad&vjs=3,2024-06-23,Alabama
Data Scientist (Top Secret),Spry Methods,"Hybrid work in Huntsville, AL",Full-time,"Stay updated with the latest advancements in data science, machine learning, and AI technologies.
Ensure data quality and integrity throughout the data…",https://www.indeed.com/rc/clk?jk=a2648c8f58e194b7&bb=iyky3AQomuxeNprvj0oz9DakqySiAlwIkAfYymHaMXy4WgSpQUmv1YNsU2gOGoXMi8QLChoPIJQ6SrAG-V0y3ZkTNu2BLv3KyHsCm0fJUXL4Lc28ghn9WpIwHEkt1mWE&xkcb=SoBk67M3_jNDenxlnp0AbzkdCdPP&fccid=a9b195d480ea289b&vjs=3,2024-06-23,Alabama
AI Innovation Specialist,PRADCO Outdoor Brands,"Birmingham, AL 35242",,"Experience managing data science and/or machine learning projects.
Proficiency in natural language processing (NLP), machine learning, and AI technologies, with…",https://www.indeed.com/rc/clk?jk=e68f0ac14f0d1e4a&bb=iyky3AQomuxeNprvj0oz9DMS2X2lWLAMU6Gq2MYNMaUjKVsEQEBH9T0Y1wiZVymIQ3YQdwA-8mJ0E4uD0pa3CrLTH-CGa7TQtIAjEFyDoJG6Ykz4GgjDaPfY6LMdYZ83&xkcb=SoDq67M3_jNDenxlnp0HbzkdCdPP&fccid=75be22a71424f1e4&vjs=3,2024-06-23,Alabama
Data Scientist,"CODE Plus, Inc.","Huntsville, AL",Full-time,"Utilize advanced statistical and machine learning techniques to analyze complex datasets and derive actionable insights.
Data analytics: 5 years (Required).",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COX2bepldHyX4UfA8jd5tRGx_tY7IxxaoDvZ0ZsS8I9tjQgEmj_6WdF3FiRLUc7EhBFc9XE6cC4I0Wa7BYm4n7zoxpIlqNIsjlxZv5-msa5jcu4m5T_qaQS2ROmwPYT4RHOxqwav0l1lJsDcMMDpfpXSDyV2C7tpsxH1TRU53q-LpuZIn7K4xY75WuGsSIbkbc_hNFZCzxpjKw1hIjoj6mDehYB1DDHuFU3wl6hZf0F7A-HHbFGab_aI7kYFKqHS9jBgSBZffQe-5X1DdRTJOrv4_INI0deDE2FRyDGwo91JCi1dweXc9ysBWxM9ottlAoGDzKM8WioBTjcCdPXf4sCR44k0ij8JX8mt81oi3czRQGJUei-xNBc-sNoD_lpH4nfqIHY7Za5zaszq2ILRxznYIxmbxBl7nh7cCZIGlwIRF83c2mp594QR9WwmRZgCn8oLnvqJkdc3FoujM13i65i16Gmu8xjPVjRz1SnUJQeNOFP6deDWDjGTgAt9iIW9pmQQBVS8BXEhAvoaqNA8VAn-SjizJaiSrhhNZF-uqBxqmlngn-yUQ-qXjBETNoDIespQpognxuNHq5gdcKDmfV49IJ_wSrm5rJl2aytjWpSHhkMvjbndYAx7PuGzUz1EspCTDc_3F4YyVGWgKydr85&xkcb=SoCq6_M3_jNDenxlnp0GbzkdCdPP&camk=CPChkbYSGj_z_6uLfQ_pVg==&p=13&fvj=1&vjs=3,2024-06-23,Alabama
AIMSS - AI Engineer (All Levels),Intuitive Research and Technology Corporation,"Huntsville, AL 35805",Full-time,"In anticipation of the contract award, we are seeking Artificial Intelligence Engineers who will support the Missile Defense Agency (MDA) Agency Information…",https://www.indeed.com/rc/clk?jk=794dd5f85946c1d7&bb=iyky3AQomuxeNprvj0oz9DakqySiAlwIuuCVaASuW48aw7XyuJjbBGassUfxFQqxy7YgavCHyDWdWGY4dcdDqLP-kWMlXVv-tdeLdwGlZEA0W54A0DCSuQ%3D%3D&xkcb=SoDD67M3_jNDenxlnp0FbzkdCdPP&fccid=b43799e75683e524&vjs=3,2024-06-23,Alabama
"Data Scientist, Senior",Booz Allen,"Huntsville, AL","$96,600 - $220,000 a year","Your deep data science and complimentary technical expertise and consulting mindset, coupled with original and innovative approaches to your work, will help…",https://www.indeed.com/rc/clk?jk=ee75f616dc3709be&bb=Ebai396BdPZJc9FMDnHsR8ljjVUsr__cvmwjPVtj630wJT5P_YAvyU2EcnMknGIcLifEaKMoy6TMMGInu9OOL5Sm0QKkPnzA9xFTWymC92SGi8Eqpdi5VbHCCjrT9iIM&xkcb=SoBm67M3_jNBTSQdhB0LbzkdCdPP&fccid=4e041af1d0af1bc8&vjs=3,2024-06-23,Alabama
"Data Scientist in Huntsville, AL (Active Secret clearance required)",Deloitte,"Huntsville, AL",Full-time,"Our team brings professionals with diverse skillsets including deep experience in industry, AI-enabled data analytics, statistical modeling, and cloud…",https://www.indeed.com/rc/clk?jk=beeefd5f8276d982&bb=Ebai396BdPZJc9FMDnHsR1b1EpHGUksz0N52wbe7tV3KZOAq3rPeun5rYaukIjgr77kKAS6lzmrgDWB3x9I5SjLtjIv5xQgk2pJ_zfvBQAFXLrULmQ7l5Q%3D%3D&xkcb=SoDS67M3_jNBTSQdhB0KbzkdCdPP&fccid=9e215d88a6b33622&vjs=3,2024-06-23,Alabama
Data Scientist IV- Secret,Jacobs Engineering Group Inc.,"Huntsville, AL 35801",,"The entire section works to provide the entire enterprise with tools and applications to assist with operational data discovery, data exploitation, data…",https://www.indeed.com/rc/clk?jk=f41de3fc8bb7ef2e&bb=Ebai396BdPZJc9FMDnHsR6M-pT2oxjeepwQNrIY0Tfpv3JqWmo2mgU5KfHjO-iClbIgtcxCPOdkE1VyvUqdOHIuOkP2olCBH6RQ3AvQQQOUVxqx3gm67ZA%3D%3D&xkcb=SoBP67M3_jNBTSQdhB0JbzkdCdPP&fccid=de56d7554bea5214&vjs=3,2024-06-23,Alabama
STATISTICIAN LEAD,University of Alabama at Birmingham,"Hybrid work in Birmingham, AL",Day shift,"Consult with various researchers or administrators regarding data analytic needs, feasibility of proposed analyses, sequential procedures, and project timelines…",https://www.indeed.com/rc/clk?jk=1506f557d6940e56&bb=Ebai396BdPZJc9FMDnHsR8hGc71K8jT7XTqJfp-mOuDz56wKfqYrUqGnDQPem_4jHwRd8NcB-b_88oUMI4AbRUbdvTo83aUlz8H3y2TgzO222aJl3jeOCg%3D%3D&xkcb=SoD767M3_jNBTSQdhB0IbzkdCdPP&fccid=61b32dc36af3abe6&vjs=3,2024-06-23,Alabama
Associate Dean for Collections and Technical Services,University of Alabama,Alabama,Full-time,"Proficiency with creating and analyzing detailed spreadsheets and preparing data visualizations of complex data sets.
Regular Full-time (Benefits eligible).",https://www.indeed.com/rc/clk?jk=43fc2ef260e5aa9c&bb=Ebai396BdPZJc9FMDnHsRzlJcTt0Hb5g5K1SBZRk_b3_RuvTOH_KrGp7KOyfYnpnj9YMgvZ7k63PvwwMvz4svvyahxaDfRIl9s8HYLgN2IcSg5IigaycDpHKFgyh0a57&xkcb=SoB167M3_jNBTSQdhB0PbzkdCdPP&fccid=27eae9b240b82ce9&vjs=3,2024-06-23,Alabama
Cost Analyst (Mathematician),Vali Incorporated,"Huntsville, AL 35806",Full-time,"Manage and organize cost data, technical baseline data, and engage in cost-centric research and analysis.
Research, dissect and analyze crucial cost data from…",https://www.indeed.com/rc/clk?jk=83959877951a1fc9&bb=Ebai396BdPZJc9FMDnHsR5ISODqM21V2TbBC7HGwwJAwIy3Q6wY4qsAYZqgGkTsXYIn2PDpPtXvl1yrBO5XEou_od3oYCH7GYvj_7nL3-FJxtH-MoVFgQ1yCIxvBSjLp&xkcb=SoDB67M3_jNBTSQdhB0ObzkdCdPP&fccid=d688e75d94a7e27b&vjs=3,2024-06-23,Alabama
Aircraft Survivability Equipment Data Management Analyst - 19304,HII,"Huntsville, AL",Full-time,"3 years of data management/configuration experience working within a government/DoD environment.
Experience with data management systems such as TopVue or…",https://www.indeed.com/rc/clk?jk=8e7da729db17e122&bb=Ebai396BdPZJc9FMDnHsRyvp-1vZBMIgWCVIa17cU8XuMfUWuRq5PzYrfPiCNimnmxQR4dygL8fhgivjWQ3iJk_7kdDLwIlvsVPG_r578RpyqrWEy1NMQvronkbDkCoB&xkcb=SoBc67M3_jNBTSQdhB0NbzkdCdPP&fccid=9f2bb83bd9bfe2fc&vjs=3,2024-06-23,Alabama
AI/ML Image Processing Engineer,Polaris Sensor Technologies,"Huntsville, AL",,"Work with scientists and engineers during and after field tests to collect optimal data sets and perform analysis.
Windows and Linux programming in C++.",https://www.indeed.com/rc/clk?jk=2f8cff241d7d1dc5&bb=Ebai396BdPZJc9FMDnHsR4NPisfaEBpS1K_OnvP6bkdJcw0aaX6DgGYs3nGH6HQp6Oy8a0Az6n4locEv5UCQWxSNHr6fYJ0q3-JSwTFB1ySB920aMdikH1vPy8103miL&xkcb=SoDo67M3_jNBTSQdhB0MbzkdCdPP&fccid=3f767ebab6494c12&vjs=3,2024-06-23,Alabama
Multiple Opportunities AIMSS - MDDC (Data Analysts - Management - Scientists),Kratos Defense,"Huntsville, AL 35806",Full-time,"Minimum one year of applicable experience.
Kratos Defense is currently pursuing the follow-on Missile Defense Data Center (MDDC) contract called Missile Defense…",https://www.indeed.com/rc/clk?jk=a7bce42827c4c16d&bb=Ebai396BdPZJc9FMDnHsR1b1EpHGUkszeLDBF_HmS-Jz-sC8S9XPhNe0E64vB6VoypBTvRuEqm-FgpG0nDvX42ko6KWC3Psl2pZAz1sRW0zsu8rYSbwnCFCYPuwzQAQX&xkcb=SoAB67M3_jNBTSQdhB0DbzkdCdPP&fccid=4070376f62e46112&vjs=3,2024-06-23,Alabama
Data Librarian (23899),Archarithms Inc,"Huntsville, AL 35801",,"We are committed to investing in our employees by offering comprehensive health insurance options, a generous 401K plan, competitive salaries, continuous career…",https://www.indeed.com/rc/clk?jk=5dabaf970f5287a1&bb=Ebai396BdPZJc9FMDnHsR1emcMby1_lskYqo9lIUXIFl0ZBQORdn5y-FAZnFiWhcRPt1kDvLsJE2TGxiVK-rGBxsrfVuSpYP0wbrBfZ6vYbBWykBGonpIlkaUvDZqVNO&xkcb=SoC167M3_jNBTSQdhB0CbzkdCdPP&fccid=85965bed6187cdcf&vjs=3,2024-06-23,Alabama
Data Scientist - SME,SOSi,"Redstone Arsenal, AL",Full-time,You will leverage scientific techniques to transform petabyte-scale data into insightful data products to enable data-driven decisions.,https://www.indeed.com/rc/clk?jk=e0b792a76d22a3d6&bb=Ebai396BdPZJc9FMDnHsRzFBOqhoVUHSpv896pG4hZTFLNsPEM68gzYZl1gEpatEn8XmkklRqYP1akDsz78IURcKB9qWo5KDym8AdpEO7byZ1O9iTpnX02sUYFC4xLIC&xkcb=SoAo67M3_jNBTSQdhB0BbzkdCdPP&fccid=6e4828d61ff7d77c&vjs=3,2024-06-23,Alabama
Machine Learning Engineer,"Torch Technologies, Inc.","Huntsville, AL 35802",Full-time,At least five years in software development with a focus on AI and machine with proven project delivery and innovative solutions in machine learning.,https://www.indeed.com/rc/clk?jk=73a0417eaad5f913&bb=Ebai396BdPZJc9FMDnHsR9Wm9ZQw_7g4TNbMvUAdvUNQyt9-micR6g9KQ4aGM1jyRIofZqGvppPzYC6jxA5mV1zJvRf-0Va683f4Tg5_klSEgcu4sDm_gRVuUaCaZyxY&xkcb=SoCc67M3_jNBTSQdhB0AbzkdCdPP&fccid=b0df153a019c5ca2&vjs=3,2024-06-23,Alabama
"Software Engineer, AI Specialist",Intuitive Research and Technology Corporation,"Huntsville, AL 35805",Full-time,You will help mentor data scientists and software engineers on best practices and emerging trends in AI and its use against data problems.,https://www.indeed.com/rc/clk?jk=8208920db9c67f19&bb=Ebai396BdPZJc9FMDnHsRw4DCPclzjcP75AoV8PeyEzHou6jr57ElKMsaKhnSyy7cARu4y_f9s3lSyLZmuijO3qO6_WXF4sKprxGaM37oOsEZov5VbK_wA%3D%3D&xkcb=SoAS67M3_jNBTSQdhB0HbzkdCdPP&fccid=b43799e75683e524&vjs=3,2024-06-23,Alabama
Associate Dean for Collections and Technical Services,The University of Alabama,Alabama,Full-time,Proficiency with creating and analyzing detailed spreadsheets and preparing data visualizations of complex data sets.,https://www.indeed.com/rc/clk?jk=e890cfb91a2c6aa4&bb=Ebai396BdPZJc9FMDnHsR1r5j1yAvjkF3JGUgeh1ZFM3AfTvGltRuRH5SXXVQKXKUOjdx6Gv8vFYPfh-0_QWCpT6iZPVJqR9wD_Mv5tLj2WFMUBYFnUSgX6ia8pQ57f9&xkcb=SoCm67M3_jNBTSQdhB0GbzkdCdPP&fccid=27eae9b240b82ce9&vjs=3,2024-06-23,Alabama
AI/ML Software Engineer,Leidos,"Huntsville, AL 35806","$81,250 - $146,875 a year","You will also be responsible for working with other software engineers, machine learning engineers, data scientists and product managers, contributing directly…",https://www.indeed.com/rc/clk?jk=e909e4a7d2312c74&bb=Ebai396BdPZJc9FMDnHsR7iYB5WpeGwJqIfnroqrgHeroN0sPS_1znlLtvCIbn9IMBaLyHas42WWRjGfEkZNSkE7Lml6o9S4ZsYZsdKrTMa4BtvaS8_bIZPmaCLu8pee&xkcb=SoA767M3_jNBTSQdhB0FbzkdCdPP&fccid=8765a4045377753a&vjs=3,2024-06-23,Alabama
"Product Lead, AI",Recruiting From Scratch,"Huntsville, AL","$140,000 - $180,000 a year",Facilitate rapid experimentation and data-driven decision-making to optimize the product and ensure market fit.,https://www.indeed.com/rc/clk?jk=70ae5e68c62cc61d&bb=iVIObXBCT9Mizk0qqi87w1v2tU1ybeBq0uiE3LBU0_gI1z1omPeIbOn2OhAkjuzc9I3YcIQiZ4LqaCMYbp8fNI11DxRE_AHmGB-RuwSNIE-z1nRDDvwr8kEhuggI8xGK&xkcb=SoAn67M3_jNATsxSkh0LbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3,2024-06-23,Alabama
Data Engineer,KBR,"Huntsville, AL 35649",Full-time,"Experience with sensor and vehicle health data.
In this role you will be part of a diverse team of developers, data scientists and technology experts to solve…",https://www.indeed.com/rc/clk?jk=b9f8c75d4246c0e1&bb=iVIObXBCT9Mizk0qqi87w14T3BA7b40AuDwORL-bFtmwyJYarA0Z7Dd7urmKTWVZTyFMpw_bXEHL73ETDiztp6W9deSJ1uIdFYcWHMg74opAogtDbJKGHA%3D%3D&xkcb=SoCT67M3_jNATsxSkh0KbzkdCdPP&fccid=cbfa56f19cc95796&vjs=3,2024-06-23,Alabama
"Software Engineer, NLP Specialist",Intuitive Research and Technology Corporation,"Huntsville, AL 35805",Full-time,Experience with developing GPU-accelerated machine learning and deep learning software against applicable frameworks.,https://www.indeed.com/rc/clk?jk=d3a110f210ae68e5&bb=iVIObXBCT9Mizk0qqi87w9warMO5XQ9sPDaudTBnuXLyTnwX4uY-0KG4LmDjSHB06GrxbaF9iHkRifChS0nGRKnchga8RyG0ePZrRKp5odqNeBoGw4pzUg%3D%3D&xkcb=SoAO67M3_jNATsxSkh0JbzkdCdPP&fccid=b43799e75683e524&vjs=3,2024-06-23,Alabama
"Senior Software Engineer, Applied AI",Recruiting From Scratch,"Hybrid work in Huntsville, AL","$150,000 - $180,000 a year","Partner across all teams including engineers, AI scientists, researchers, designers, and product managers to bring new features into production.",https://www.indeed.com/rc/clk?jk=11d1c3f715f04bbe&bb=iVIObXBCT9Mizk0qqi87w_0sFSi-NIni80vRLMO68eV_NRAYuHC6jhtt_2pKuy9dM_L-t_wynSOEiPCqMG77YPmzXLFhVyEeSNhoSvbGFDE8VwSGamG4zAVxjtDPiO2e&xkcb=SoC667M3_jNATsxSkh0IbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3,2024-06-23,Alabama
System Architect - Data,"PeopleTec, Inc.","Huntsville, AL 35805",Full-time,"The role requires deep technical expertise in data architecture, software development, and a solid understanding of organizational change management to drive…",https://www.indeed.com/rc/clk?jk=8dd3dea823028af2&bb=iVIObXBCT9Mizk0qqi87ww3XY7O2XfoDUMRzekFy3Zrkd0V-_PWp-ioOl5gvQLaAuhfqDmYuEAgKsKTeRSHEhCCYfG-edgM2bqMrddJ9nsArJjFF6Wp8Y2eIAkCpHk-5&xkcb=SoA067M3_jNATsxSkh0PbzkdCdPP&fccid=6450759869a75aa3&vjs=3,2024-06-23,Alabama
"Senior Software Engineer, AI Specialist",Intuitive Research and Technology Corporation,"Huntsville, AL 35805",Full-time,"Experience with developing GPU-accelerated machine learning and deep learning software against applicable frameworks.
MS in an AI-related technical field.",https://www.indeed.com/rc/clk?jk=59925d03e60b9133&bb=iVIObXBCT9Mizk0qqi87w8UWxIrK_7ZvOSfACbCjm339YcStmIMtgJuxvfxC4uHLW_scyGps36uEEbtpglevWQ6_SdZDxGPHVPEiYW1TclZxqoneSTcc3w%3D%3D&xkcb=SoCA67M3_jNATsxSkh0ObzkdCdPP&fccid=b43799e75683e524&vjs=3,2024-06-23,Alabama
Digital Contact Solutions Manager,PRICE WATERHOUSE COOPERS,"Remote in Birmingham, AL 35209",,"Managing a team of AI consultants, data scientists, developers and designers, providing guidance, support, and mentoring to ensure the team is aligned with the…",https://www.indeed.com/rc/clk?jk=b30f53989a64a5eb&bb=iVIObXBCT9Mizk0qqi87w8M8t62CyDNTFqU_ZFzfpMIc04tsb12mqxGglEohzaTkW-C97TizRReHVjoySW_kfhwfTqvZOAMfp7Ur4v0xVGKXiwe7aVR9giMGgr3Ys1RV&xkcb=SoAd67M3_jNATsxSkh0NbzkdCdPP&fccid=5e964c4afc56b180&vjs=3,2024-06-23,Alabama
Senior Data Analyst - Midtown Financial Center,Northrim Bank,"Anchorage, AK 99503 
(Midtown area)",,"Analyze business needs to ensure data requests are fulfilled with a complete and accurate representation of the data.
Pay is depending on experience.",https://www.indeed.com/rc/clk?jk=013f2c4f5fa07083&bb=ByuBOh0Bx07KJRD86H4ULc58Kn59RsH4QpqROWDygzPBpeAk8R1t1ZaJIeBmdxGITWpJ-pPkEZA82701Y8SVGg8rAcJa3N3p5IKxPvaizFPsjnRmGbp6FF9PYVcWYotf&xkcb=SoA967M3_jNftIQGVJ0LbzkdCdPP&fccid=8c78c49f028eb7df&vjs=3,2024-06-23,Alaska
Software Product Manager - Cryo-EM Data Science,Thermo Fisher Scientific,Alaska,Full-time,"Assess needs of customers and markets with regards to data managment, develop business plans to build solutions that leverage data science to gain market share…",https://www.indeed.com/rc/clk?jk=593df8d4670d120c&bb=ByuBOh0Bx07KJRD86H4ULSXHPNhnOz8oM8OytMYphZWwcK8YIUto0BREpdOi1i0O3-hBQLyFcSGkeYE_UDi82xL5vtnh2OZNX16MBS03vr_mHTbqpjW8TQ%3D%3D&xkcb=SoCJ67M3_jNftIQGVJ0KbzkdCdPP&fccid=126e3afd205caa95&vjs=3,2024-06-23,Alaska
Data Scientist I,Republic Services,"Phoenix, AZ 85054",Full-time,"Participates in end-to-end data science project lifecycle – data mining and exploration, model development and evaluation, solution deployment in production,…",https://www.indeed.com/rc/clk?jk=257efd918f89501c&bb=2BLFYhjyi5Bqe1pqMiAglz6mSYJHHbYJetwHSFfinApO22zg6LJyaIAFqhtgJJeCMmI6peZuHcHIg_Q0Cfin70O5MeLnVyOCEHHDmir40iL_rXq69iFPTb0213C6bxPx&xkcb=SoD767M3_jNd3WgakL0LbzkdCdPP&fccid=e048e6229c201697&vjs=3,2024-06-23,Arizona
Data Scientist,BOEING,"Hybrid work in Mesa, AZ",,"The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health insurance,…",https://www.indeed.com/rc/clk?jk=cfcacd9a79a7d92a&bb=2BLFYhjyi5Bqe1pqMiAgl4ydQyd20ZwhOfoxZSclK4DRlKAM4tPv9SqlDv2yfg4-Bl-PQrwQlJiGgtJ5UlUM-onR4RGdAnsoZqmfmg0arJw2sC_-7clboQ%3D%3D&xkcb=SoBP67M3_jNd3WgakL0KbzkdCdPP&fccid=edae4285faf6c2f0&vjs=3,2024-06-23,Arizona
