Date,Title,Company,State,City,Level,Work Mode,Average Salary,Pay Type,Employment Type,Description
2024-06-23,Digital Contact Solutions Manager,Price Waterhouse Coopers,Arizona,Phoenix,Manager,,,,nan,"Managing a team of AI consultants, data scientists, developers and designers, providing guidance, support, and mentoring to ensure the team is aligned with the…"
2024-06-23,Test Data Management Consultant,Ntt Data,Arkansas,Little Rock,Mid-level,,,,nan,"Mine existing data and/or synthetic data generation as needed.
Solid understanding of data governance, data quality and metadata management."
2024-06-23,Data Scientist Ii,Murphy Usa,Arkansas,El Dorado,Mid-level,,,,nan,"1 to 3 years of related experience in data mining and analytics, database structure and ETL, predictive modeling, machine learning, and statistical programming…"
2024-06-23,Senior Data Analyst- Deposits,Bank Ozk,Arkansas,Little Rock,Senior,,,,Full-time,"Ability to analyze complex financial data and turn it into actionable analysis, insights, and strategic recommendations."
2024-06-23,Data Scientist I-iii,Entergy Corporation,Arkansas,Little Rock,Mid-level,,,,Overtime,Data Scientist III: 3 - 4+ years in a data analytics role utilizing mathematics and/or machine learning techniques to solve real-world problems.
2024-06-23,"Staff, Data Scientist - Tiger Team, Data Venture",Walmart,Arkansas,Bentonville,Mid-level,,165000.0,year,,"Develops newer techniques (for example, advanced machine learning algorithms, auto ML) by leveraging the latest trends in machine learning, artificial…"
2024-06-23,Data Scientist Iii,Walmart,Arkansas,Bentonville,Mid-level,,135000.0,year,,"Benefits are subject to change and may be subject to a specific plan or program terms.
Data science, machine learning, optimization models, Master's degree in…"
2024-06-23,"(usa) Principal, Data Scientist",Walmart,Arkansas,Bentonville,Mid-level,,165000.0,year,,"Develop newer techniques (for example, advanced machine learning algorithms, auto ML) by leveraging the latest trends in machine learning, artificial…"
2024-06-23,Senior Integration Data Analyst,360insights,Arkansas,Bentonville,Senior,,,,Full-time,"They will have a strong foundational knowledge of data management, master data, cleansing, data quality and data governance practices."
2024-06-23,A/ai Research Engineer Sr. Manager,Lockheed Martin Corporation,Arkansas,Camden,Manager,,,,Full-time,"10+ years of professional experience applying statistics, predictive modeling, and machine learning techniques to solve business problems.
MUST BE A US CITIZEN."
2024-06-23,"(usa) Senior, Data Scientist - Machine Learning Engineer",Sam's Club,Arkansas,Bentonville,Senior,,135000.0,year,,"Collaborate with cross-functional teams, including data scientists, software engineers, and product managers, to understand business requirements and translate…"
2024-06-23,Expert Data Scientist,Acxiom,Arkansas,Conway,Mid-level,,,,Full-time,"Collaborate with product team, other data scientists to define project requirements including data sources, algorithms, and specific model implementation."
2024-06-23,"(usa) Director, Data Science",Walmart,Arkansas,Bentonville,Mid-level,,195000.0,year,,"Option 2: Master's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and at least 5 years of…"
2024-06-23,"Principal, Data Scientist (pricing)",Walmart,Arkansas,Bentonville,Mid-level,,165000.0,year,,"Thought Leadership: Stay abreast of industry trends, best practices, and emerging technologies in pricing analytics, data science, and machine learning."
2024-06-23,Lead Data Scientist,Right Balance,Arkansas,Arkansas,Lead,,9000.0,month,,"Mentor junior data scientists and provide guidance on best practices.
Experience mentoring junior data scientists and guiding best practices in modeling and…"
2024-06-23,"Senior, Data Engineer",Walmart,Arkansas,Bentonville,Senior,,135000.0,year,,"Benefits are subject to change and may be subject to a specific plan or program terms.
Data engineering, database engineering, business intelligence, or…"
2024-06-23,"Senior Manager, Data Science",Walmart,Arkansas,Bentonville,Senior,,165000.0,year,,"Benefits are subject to change and may be subject to a specific plan or program terms.
Manage and execute entire projects from start to finish, including cross…"
2024-06-23,"Staff, Product Manager - Marketplace Data Privacy",Walmart,Arkansas,Bentonville,Manager,,165000.0,year,,"You have a deep understanding of data security and data privacy concepts, technologies, and industry trends including data protection, intellectual property,…"
2024-06-23,"Vp, Artificial Intelligence (ai) - Remote",Acxiom,Arkansas,Conway,Mid-level,Remote,,,Full-time,"Proven experience (10+ years) in AI, machine learning, data analytics, and strategy, with at least 5 years in a leadership role."
2024-06-23,"Senior Director, Technology Operations - Enterprise Data Strategy & Strategic Initiatives",Walmart,Arkansas,Bentonville,Senior,,195000.0,year,,"Master's degree in computer science, management information systems, industrial engineering, engineering management, business, information systems, project…"
2024-06-23,"(usa) Principal, Software Engineer - Ai Engineering",Walmart,Arkansas,Bentonville,Mid-level,,165000.0,year,,"Benefits are subject to change and may be subject to a specific plan or program terms.
Master's degree in computer science, computer engineering, computer…"
2024-06-23,Statistician,Southern Arkansas University Tech,Arkansas,Camden,Mid-level,,40000.0,year,,The Statistician works primarily with numerical data related to the institution’s goals by collecting data; consolidating numerical data into databases; using…
2024-06-23,Principal Machine Learning Engineer,Lennar Homes,Arkansas,Bentonville,Mid-level,,,,Full-time,"Design and Architect ML Solutions: Collaborate with data scientists, engineers, and stakeholders to architect end-to-end machine learning infrastructure,…"
2024-06-23,Digital Contact Solutions Manager,Price Waterhouse Coopers,Arkansas,Little Rock,Manager,,,,nan,"Managing a team of AI consultants, data scientists, developers and designers, providing guidance, support, and mentoring to ensure the team is aligned with the…"
2024-06-23,Data Scientist - Ai/ml,Stanford Health Care,California,Palo Alto,Mid-level,,,,nan,"This group is designed to bring Artificial Intelligence (AI), predictive algorithms and other emerging machine learning (ML) based innovations in data science…"
2024-06-23,"Data Scientist, Stanford Law School",Stanford University,California,Stanford,Mid-level,,,,nan,"SSLA seeks a Data Scientist to contribute to SSLA’s research and experimentation on applications of artificial intelligence, natural language processing and…"
2024-06-23,Data Scientist,Restoration Hardware,California,Corte Madera,Mid-level,,,,nan,"Completion of a university-level course, research project, internship, or thesis in each of the following: data mining, data modeling, natural language…"
2024-06-23,Research Associate Data Scientist -dept Of Orthopaedics,Cedars-sinai,California,California,Associate,,50.839999999999996,hour,,"Responsibilities include querying databases, data processing, supervised and unsupervised machine learning, deploying production models, and communication of…"
2024-06-23,"Business Data Scientist, Devices And Services Systems",Google,California,San Francisco,Mid-level,,,,nan,"You will be responsible for project scoping with business stakeholders, analyzing and building massive datasets, developing production-ready statistical tools,…"
2024-06-23,Data Scientist / Machine Learning Engineer (on-site Only),Legal Soft Solution,California,Woodland Hills,Mid-level,On-site,,,nan,"Strong understanding of machine learning algorithms and neural networks, with significant experience working with large language models (LLMs)."
2024-06-23,"Senior Scientist, Grocery & Retail",Uber,California,San Francisco,Senior,,174000.0,year,,"Experience with dashboard/data visualization toolings.
Perform strategic deep dives to uncover opportunities for product and business growth, including funnel…"
2024-06-23,Data Scientist Iv,Sutter Health,California,Sacramento,Mid-level,,,,nan,"Mentor and develop other data scientists across the organization.
Ability to mentor other data scientists working on common projects."
2024-06-23,Sr. Product Manager - Ai Checkout,Paypal,California,San Jose,Manager,,144550.0,year,,"Execute instrumentation with excellence in a cross-functional setting, building strong relationships with key stakeholders (data engineers, software engineers,…"
2024-06-23,Sr. Data Scientist (remote),Rula,California,California,Mid-level,Remote,,,nan,"8+ years of experience working directly in a data science capacity in the focus area(s) of marketing, analytics, product, or engineering within an organization."
2024-06-23,"Data Scientist (applied Science), Infra Supply Chain",Meta,California,Fremont,Mid-level,,207500.0,year,,Our team is at the forefront of applying statistical and machine learning techniques to optimize decision-making processes in areas such as demand/supply…
2024-06-23,"Sr. Staff Data Scientist, Core Ecosystem",Pinterest,California,San Francisco,Mid-level,,266071.5,year,,"10+ years of experience analyzing data in a fast-paced, data-driven environment with proven ability to apply scientific methods to solve real-world problems on…"
2024-06-23,Operations Data Scientist,Tiktok,California,San Jose,Mid-level,,195000.0,year,,"Work with data engineers to develop data pipelines and ensure data quality.
Experience with data visualization tools and techniques."
2024-06-23,Staff Data Scientist,Adobe,California,San Jose,Mid-level,,203900.0,year,,You will also work with data engineers to automate data pipelines to and scale experimentation and user analytics.
2024-06-23,Data Scientist,Compugen Usa,California,San Francisco,Mid-level,,,,nan,"Present, visualize, and communicate analytics results and scientific insights to internal and external collaborators."
2024-06-23,Senior Data Scientist - Identity,Afterpay,California,San Francisco,Senior,,,,nan,"This role is also eligible to participate in Block's equity plan subject to the terms of the applicable plans and policies, and may be eligible for a sign-on…"
2024-06-23,"Data Scientist, Trust And Safety - Usds",Tiktok,California,Mountain View,Mid-level,,192000.0,year,,"4+ years of experience in data science, data analytics, product analytics, quantitative analysis, and machine learning experience to build ML-driven products…"
2024-06-23,Data Scientist,Center For Autism And Related Disorders,California,California,Mid-level,,,,Full-time,"Collaborate with external partners like Autism Insights to leverage data insights for impactful outcomes.
Provide technical leadership in machine learning, AI,…"
2024-06-23,Senior Data Scientist - Local,Afterpay,California,San Francisco,Senior,,,,Full-time,"This role is also eligible to participate in Block's equity plan subject to the terms of the applicable plans and policies, and may be eligible for a sign-on…"
2024-06-23,"Data Scientist, Analytics - Dcc",Tiktok,California,San Jose,Mid-level,,157000.0,year,,Knowledge of Machine Learning: Demonstrated fundamental knowledge of the end-of-end machine learning model development process.
2024-06-23,Data Scientist,Mutual Of Omaha Mortgage,California,Irvine,Mid-level,,,,nan,"5+ years of professional experience with forecasting and prediction modeling using data visualization tools.
We offer an extensive compensation package."
2024-06-23,"Staff Scientist, Uber For Business",Uber,California,San Francisco,Mid-level,,203000.0,year,,"Familiarity with data visualization tools, such as Tableau.
This role contributes to the direction and strategy of U4B products through analytical insights."
2024-06-23,Data Scientist Ii - Shiny,Health Net,California,California,Mid-level,,118000.0,year,,"Knowledge/Experience: Master’s degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 3+ years…"
2024-06-23,Data Scientist For Enrollment Management,California Institute Of Technology,California,Pasadena,Mid-level,,,,Full-time,"Design and conduct complex data analyses using student application data, demographic information, financial aid data, student success data, and other relevant…"
2024-06-23,Senior Data Scientist,Evona,California,California,Senior,,,,nan,"Expert understanding of machine learning and deep learning.
As a Senior Data Scientist, you will contribute directly to our mission by developing machine…"
2024-06-23,Data Scientist (l5) - Identity Algorithms,Netflix,California,Los Gatos,Mid-level,,,,Full-time,Be a strong thought partner influencing strategic decision-making through data-driven insights and recommendations.
2024-06-23,"Senior Data Scientist, Global Search",Tiktok,California,San Jose,Senior,,266053.5,year,,"In addition, it is important to manage the data life cycle to ensure problems are quantitatively measured to propose logical solutions."
2024-06-23,Staff Data Scientist,Crunchbase,California,California,Mid-level,,200000.0,year,,"By combining Crunchbase, private and behavioral data with machine learning systems, we learn to understand the underlying data needs to best assist their day to…"
2024-06-23,Applied Scientist,"Twitch Interactive, Inc.",California,San Francisco,Mid-level,,129400.0,year,,"As an applied scientist on Twitch's Community team, you will use machine learning to develop data products tackling problems such as harassment, spam, and…"
2024-06-23,"Staff Data Scientist, Product",Google,California,San Diego,Mid-level,,,,Full-time,"As a data-loving member of the team, you serve as an analytics expert for your partners, using numbers to help them make better decisions."
2024-06-23,"Engineer, Generative Ai",Vagaro,California,Pleasanton,Mid-level,,175000.0,year,,"Proficient in machine learning, deep learning, and generative AI models.
Utilize cutting-edge technologies such as machine learning, natural language processing…"
2024-06-23,Data Scientist / Statistician,Active Motif Inc,California,Carlsbad,Mid-level,,115000.0,year,,"Experience with large datasets and data analysis tools.
Familiarity with NGS data analysis is highly preferred.
Strong analytical and statistical training."
2024-06-23,Data Science Lead - Tiktok Ads- San Jose,Tiktok,California,San Jose,Lead,,224500.0,year,,"5+ years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models,…"
2024-06-23,"Sr. Data Scientist, Conversion Visibility",Pinterest,California,San Francisco,Mid-level,,188747.0,year,,"5+ years of hands-on experience as a data scientist, applied scientist or machine learning engineer.
Conduct deep-dive analysis to explore the patterns in real…"
2024-06-23,"Sr. Data Scientist, Media Mix Modeling (mmm)",Pinterest,California,San Francisco,Mid-level,,,,nan,6+ years of combined post-graduate academic and industry experience applying scientific methods to solve real-world problems.
2024-06-23,Senior Data Scientist,Pg&e Corporation,California,Oakland,Senior,,,,Full-time,"Creates data mining architectures / models / protocols, statistical reporting, and data analysis methodologies to identify trends in structured and unstructured…"
